datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,전일_출력제한량,출력제한_변화율,전일_태양광,전일_풍력,출력비율,예측출력제한량
2022-03-29 13:00:00,15.8,0.0,4.525,60.25,1.0,3.255,245.62,13.75,460730.0,6.1,1,0.6250000000000004,-242.365,13.0,-30510.0,30225.0,1,0.0,61000000.0,245.93,5.43,0.0235185256492583,4.737895
2022-03-29 14:00:00,16.25,0.0,4.7,64.75,1.0,3.14,227.31,29.91,467504.0,6.7,1,0.1749999999999998,-224.17,14.0,6774.0,5654.0,1,6.1,0.0983606541252352,245.62,13.75,0.0260477412230589,5.8007755
2022-03-29 15:00:00,15.95,0.0,3.8,65.0,1.0,2.8,186.99,29.19,485556.0,3.2,1,-0.9000000000000004,-184.19,15.0,18052.0,-14292.666666666686,1,6.7,-0.5223880519046559,227.31,29.91,0.0148024794084547,3.164306
2022-04-03 11:00:00,12.6,0.0,3.3,52.75,1.0,2.82,245.52,3.82,431818.0,3.7,1,0.0249999999999999,-242.7,11.0,-36681.0,42084.333333333314,1,0.0,37000000.0,221.54,29.89,0.0148391754171656,3.0315735
2022-04-03 12:00:00,13.225,0.0,3.55,48.0,1.0,3.23,253.21,3.84,407859.0,25.3,1,0.25,-249.98,12.0,-23959.0,28199.66666666669,1,3.7,5.837837680058441,245.52,3.82,0.0984244310062538,20.719946
2022-04-03 13:00:00,13.7,0.0,4.025,49.5,1.0,3.38,244.5,3.98,395917.0,26.5,1,0.4750000000000005,-241.12,13.0,-11942.0,15947.666666666686,1,25.3,0.047430829852052,253.21,3.84,0.1066484223653218,23.192068
2022-04-03 14:00:00,13.55,0.0,4.2,46.5,1.0,3.29,227.75,5.99,400006.0,26.5,1,0.1749999999999998,-224.46,14.0,4089.0,1254.666666666686,1,26.5,0.0,244.5,3.98,0.1133738341262198,24.047338
2022-04-03 15:00:00,13.875,0.0,4.0,46.0,1.0,2.97,183.41,25.82,411611.0,19.5,1,-0.2000000000000001,-180.44,15.0,11605.0,-9099.666666666686,1,26.5,-0.2641509423994304,227.75,5.99,0.0931988720101329,17.662329
2022-04-07 12:00:00,17.075,0.0,3.375,67.25,1.0,2.965,239.71,24.2,489934.0,0.7,1,-0.125,-236.745,12.0,-45592.0,52713.66666666663,1,0.0,7000000.0,225.53,31.03,0.0026524193843914,0.90357804
2022-04-07 13:00:00,16.875,0.0,4.45,69.25,1.0,3.04,233.91,14.41,490008.0,36.7,1,1.0750000000000002,-230.87,13.0,74.0,15148.0,1,0.7,51.42856408163371,239.71,24.2,0.1477931700435756,36.314842
2022-04-07 14:00:00,16.55,0.0,4.25,67.25,1.0,2.895,212.1,23.43,477396.0,37.2,1,-0.2000000000000001,-209.205,14.0,-12612.0,8383.333333333314,1,36.7,0.0136239781645123,233.91,14.41,0.1579416634153009,36.07239
2022-04-07 15:00:00,17.025,0.0,4.525,65.0,1.0,2.65,171.14,41.86,500322.0,4.7,1,0.2750000000000003,-168.48999999999998,15.0,22926.0,-11080.0,1,37.2,-0.8736559116299571,212.1,23.43,0.022065727689171,2.3342066
2022-04-09 10:00:00,19.4,0.0,3.925,61.0,1.0,2.25,207.15,3.82,490497.0,17.3,1,0.25,-204.9,10.0,-38597.0,47945.33333333337,1,0.0,173000000.00000003,173.75,32.96,0.0820021803659277,13.7192545
2022-04-09 12:00:00,20.4,0.0,4.9,57.25,1.0,3.25,193.44,4.46,440069.0,46.1,1,0.2750000000000003,-190.19,12.0,-23737.0,24721.66666666669,1,0.0,461000000.00000006,209.42,4.45,0.2329459321713259,46.545998
2022-04-09 13:00:00,20.475,0.0,5.25,55.25,1.0,3.39,190.31,6.05,439453.0,46.1,1,0.3499999999999996,-186.92,13.0,-616.0,8323.0,1,46.1,0.0,193.44,4.46,0.2347728660446257,45.38524
2022-04-09 14:00:00,20.65,0.0,5.025,55.0,1.0,3.295,176.6,10.61,450526.0,46.1,1,-0.2249999999999996,-173.305,14.0,11073.0,-7176.666666666686,1,46.1,0.0,190.31,6.05,0.2462475293807769,47.766247
2022-04-09 16:00:00,20.175,0.0,4.675,54.5,1.0,2.425,123.23,51.16,470507.0,46.1,1,-0.3500000000000005,-120.805,16.0,7117.0,-9032.666666666686,1,0.0,461000000.00000006,157.52,11.71,0.2643500199183726,46.536716
2022-04-10 09:00:00,19.375,0.0,4.25,58.0,0.95,1.175,122.57,36.29,519058.0,26.0,1,1.275,-121.395,9.0,-52255.0,56956.0,0,0.0,260000000.0,91.25,68.5,0.1636661210099042,26.86127
2022-04-10 10:00:00,19.9,0.0,4.1,55.0,0.825,1.535,152.85,22.5,506059.0,77.6,1,-0.1500000000000003,-151.315,10.0,-12999.0,26084.33333333337,0,26.0,1.9846153769822483,122.57,36.29,0.4425434842072749,80.393684
2022-04-10 12:00:00,21.35,0.0,3.675,54.5,0.85,2.46,182.9,11.33,462893.0,97.7,1,-0.9750000000000004,-180.44,12.0,-20520.0,21228.66666666669,1,0.0,977000000.0,166.32,8.17,0.5030118928574309,96.34952
2022-04-10 15:00:00,21.575,0.0,4.125,55.0,0.975,2.475,116.34,46.06,460648.0,96.1,1,0.3500000000000001,-113.865,15.0,9156.0,-5907.0,1,0.0,961000000.0,171.28,5.4,0.591748768108529,112.80321
2022-04-10 16:00:00,20.975,0.0,3.55,57.0,0.575,1.695,70.63,55.14,510202.0,22.0,1,-0.5750000000000002,-68.935,16.0,49554.0,-36088.0,0,96.1,-0.7710717994057525,116.34,46.06,0.1749224773992824,27.135317
2022-04-12 12:00:00,20.575,0.0,4.025,86.0,0.5,2.785,208.96,8.57,501429.0,3.9,1,0.4250000000000002,-206.175,12.0,-18595.0,22058.0,0,0.0,39000000.0,211.79,8.69,0.0179285615694715,1.5931591
2022-04-12 13:00:00,20.55,0.0,4.625,86.5,0.6,2.905,194.45,21.26,498868.0,15.0,1,0.5999999999999996,-191.545,13.0,-2561.0,7905.666666666686,1,3.9,2.846153773175544,208.96,8.57,0.0695378053546253,11.8387375
2022-04-12 14:00:00,21.15,0.0,4.2,85.0,0.575,2.945,193.87,13.29,518943.0,1.5,1,-0.4249999999999998,-190.925,14.0,20075.0,-12529.666666666686,1,15.0,-0.8999999940000001,194.45,21.26,0.0072407800698779,-1.3720225
2022-04-15 12:00:00,15.6,0.0,5.0,69.25,0.625,2.555,203.09,5.17,526164.0,38.6,1,-0.0750000000000001,-200.535,12.0,-29200.0,37378.0,1,0.0,386000000.00000006,166.96,61.01,0.1853452414360197,40.78029
2022-04-15 15:00:00,16.35,0.0,3.9,65.25,1.0,2.36,143.6,54.52,495562.0,69.5,1,-0.6750000000000003,-141.23999999999998,15.0,27041.0,-20071.0,1,0.0,695000000.0,177.48,15.77,0.3507974962897247,68.34544
2022-04-16 10:00:00,14.75,0.0,3.575,62.5,0.925,2.135,206.3,6.67,485840.0,0.4,1,0.3500000000000001,-204.165,10.0,-38485.0,44402.33333333337,1,0.0,4000000.000000001,169.69,23.26,0.0018781988064618,-3.146258
2022-04-16 15:00:00,16.125,0.0,3.925,59.75,1.0,2.995,175.24,12.9,450227.0,21.5,1,-0.2999999999999998,-172.245,15.0,8357.0,-6701.333333333314,1,0.0,215000000.0,192.15,4.16,0.1142766024692906,18.281967
2022-04-17 10:00:00,16.725,0.0,3.475,36.25,1.0,2.46,180.4,5.37,436441.0,59.0,1,0.5750000000000002,-177.94,10.0,-51272.0,59725.333333333314,1,0.0,590000000.0,181.03,9.91,0.31759702841277,60.630054
2022-04-17 11:00:00,16.75,0.0,3.75,39.5,1.0,3.06,177.61,3.97,415988.0,61.5,1,0.2749999999999999,-174.55,11.0,-20453.0,30726.0,1,59.0,0.0423728812841137,180.4,5.37,0.3386936885457133,65.43767
2022-04-17 12:00:00,17.675,0.0,3.85,36.75,1.0,3.425,172.87,3.59,421516.0,61.5,1,0.1,-169.445,12.0,5528.0,3132.333333333314,1,61.5,0.0,177.61,3.97,0.3485209110571682,66.46755
2022-04-17 13:00:00,18.05,0.0,3.675,38.5,1.0,3.545,170.18,4.84,419926.0,61.5,1,-0.1750000000000002,-166.63500000000002,13.0,-1590.0,-782.6666666666861,1,61.5,0.0,172.87,3.59,0.3513884125520578,65.878105
2022-04-17 15:00:00,18.475,0.0,4.525,44.5,1.0,3.105,154.89,11.3,432595.0,61.5,1,0.1500000000000003,-151.785,15.0,8610.0,-7093.0,1,0.0,615000000.0,160.76,6.32,0.3700583667067463,65.336815
2022-04-17 17:00:00,17.4,0.0,4.5,48.25,1.0,1.745,56.21,30.45,500648.0,5.9,1,0.25,-54.465,17.0,55943.0,-41332.0,0,0.0,59000000.00000001,125.38,31.9,0.0680821600876042,6.9016347
2022-04-19 11:00:00,18.55,0.0,3.25,49.0,1.0,2.495,219.63,2.02,510856.0,2.5,1,-0.5249999999999999,-217.135,11.0,-26411.0,25145.0,1,0.0,25000000.0,192.06,9.86,0.0112790435320193,-0.8439414
2022-04-19 15:00:00,19.25,0.0,3.8,41.0,1.0,2.855,177.78,7.67,489914.0,7.8,1,0.0,-174.925,15.0,11159.0,-13644.666666666686,1,0.0,78000000.0,208.84,2.36,0.0420598543855163,5.673221
2022-04-20 12:00:00,19.3,0.0,3.025,45.25,1.0,3.25,220.14,5.38,462813.0,1.9,1,-0.1499999999999999,-216.89,12.0,-32602.0,30787.66666666669,1,0.0,19000000.0,232.43,4.21,0.008424973391085,0.71485436
2022-04-20 13:00:00,19.625,0.0,3.075,39.75,1.0,3.39,217.36,4.99,457914.0,3.0,1,0.0500000000000002,-213.97000000000003,13.0,-4899.0,14133.333333333314,1,1.9,0.5789473379501402,220.14,5.38,0.0134922419548044,1.0028112
2022-04-20 14:00:00,19.2,0.0,3.125,41.5,1.0,3.3,215.77,3.35,472036.0,3.1,1,0.0499999999999998,-212.47,14.0,14122.0,-7781.666666666686,1,3.0,0.0333333322222222,217.36,4.99,0.0141474990808016,0.91027135
