datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,예측출력제한량
2022-03-29 15:00:00,15.95,0.0,3.8,65.0,1.0,2.8,186.99,29.19,485556.0,3.2,1,-0.9000000000000004,-184.19,15.0,18052.0,-14292.666666666686,1,38.21537
2022-03-29 16:00:00,16.175,0.0,4.375,62.25,1.0,2.265,127.07,23.24,521521.0,0.0,0,0.5750000000000002,-124.805,16.0,35965.0,-29994.0,1,45.79809
2022-04-03 10:00:00,12.325,0.0,3.275,51.5,1.0,2.195,221.54,29.89,468499.0,0.0,0,0.1749999999999998,-219.345,10.0,-52891.0,77413.0,1,38.14275
2022-04-03 11:00:00,12.6,0.0,3.3,52.75,1.0,2.82,245.52,3.82,431818.0,3.7,1,0.0249999999999999,-242.7,11.0,-36681.0,42084.333333333314,1,42.414867
2022-04-03 12:00:00,13.225,0.0,3.55,48.0,1.0,3.23,253.21,3.84,407859.0,25.3,1,0.25,-249.98,12.0,-23959.0,28199.66666666669,1,50.531254
2022-04-03 13:00:00,13.7,0.0,4.025,49.5,1.0,3.38,244.5,3.98,395917.0,26.5,1,0.4750000000000005,-241.12,13.0,-11942.0,15947.666666666686,1,57.99217
2022-04-03 14:00:00,13.55,0.0,4.2,46.5,1.0,3.29,227.75,5.99,400006.0,26.5,1,0.1749999999999998,-224.46,14.0,4089.0,1254.666666666686,1,61.445858
2022-04-03 15:00:00,13.875,0.0,4.0,46.0,1.0,2.97,183.41,25.82,411611.0,19.5,1,-0.2000000000000001,-180.44,15.0,11605.0,-9099.666666666686,1,52.607254
2022-04-03 16:00:00,13.775,0.0,3.8,46.25,1.0,2.41,127.06,26.46,448702.0,0.0,0,-0.2000000000000001,-124.65,16.0,37091.0,-28595.66666666669,1,43.998543
2022-04-07 11:00:00,15.7,0.0,3.5,70.5,0.925,2.225,225.53,31.03,535526.0,0.0,0,-0.5250000000000004,-223.305,11.0,-66957.0,52547.0,1,31.23929
2022-04-07 12:00:00,17.075,0.0,3.375,67.25,1.0,2.965,239.71,24.2,489934.0,0.7,1,-0.125,-236.745,12.0,-45592.0,52713.66666666663,1,33.509186
2022-04-07 13:00:00,16.875,0.0,4.45,69.25,1.0,3.04,233.91,14.41,490008.0,36.7,1,1.0750000000000002,-230.87,13.0,74.0,15148.0,1,52.955006
2022-04-07 14:00:00,16.55,0.0,4.25,67.25,1.0,2.895,212.1,23.43,477396.0,37.2,1,-0.2000000000000001,-209.205,14.0,-12612.0,8383.333333333314,1,47.73328
2022-04-07 15:00:00,17.025,0.0,4.525,65.0,1.0,2.65,171.14,41.86,500322.0,4.7,1,0.2750000000000003,-168.48999999999998,15.0,22926.0,-11080.0,1,49.17722
2022-04-07 16:00:00,16.3,0.0,4.3,70.25,1.0,2.16,120.12,49.19,540691.0,0.0,0,-0.2250000000000005,-117.96,16.0,40369.0,-34554.666666666686,1,35.794773
2022-04-08 11:00:00,18.15,0.0,2.675,46.75,1.0,2.865,233.19,2.84,502642.0,0.0,0,0.4499999999999997,-230.325,11.0,-39052.0,39114.66666666663,1,32.544266
2022-04-08 12:00:00,18.175,0.0,2.775,48.5,1.0,3.235,240.86,1.73,481409.0,0.0,0,0.1,-237.625,12.0,-21233.0,27172.66666666669,1,34.392746
2022-04-08 13:00:00,18.525,0.0,3.35,50.5,1.0,3.36,239.77,4.94,464616.0,0.0,0,0.5750000000000002,-236.41,13.0,-16793.0,18273.0,1,43.72777
2022-04-08 14:00:00,18.675,0.0,2.8,46.75,1.0,3.285,219.87,2.95,470293.0,0.0,0,-0.5500000000000003,-216.585,14.0,5677.0,1813.0,1,34.050983
2022-04-08 15:00:00,18.825,0.0,2.7,49.0,1.0,2.925,181.04,2.23,485049.0,0.0,0,-0.0999999999999996,-178.11499999999998,15.0,14756.0,-11729.666666666686,1,27.770369
2022-04-09 10:00:00,19.4,0.0,3.925,61.0,1.0,2.25,207.15,3.82,490497.0,17.3,1,0.25,-204.9,10.0,-38597.0,47945.33333333337,1,45.02474
2022-04-09 11:00:00,20.2,0.0,4.625,55.5,1.0,2.86,209.42,4.45,463806.0,0.0,0,0.7000000000000002,-206.56,11.0,-26691.0,30659.66666666669,1,61.74329
2022-04-09 12:00:00,20.4,0.0,4.9,57.25,1.0,3.25,193.44,4.46,440069.0,46.1,1,0.2750000000000003,-190.19,12.0,-23737.0,24721.66666666669,1,65.07233
2022-04-09 13:00:00,20.475,0.0,5.25,55.25,1.0,3.39,190.31,6.05,439453.0,46.1,1,0.3499999999999996,-186.92,13.0,-616.0,8323.0,1,72.52704
2022-04-09 14:00:00,20.65,0.0,5.025,55.0,1.0,3.295,176.6,10.61,450526.0,46.1,1,-0.2249999999999996,-173.305,14.0,11073.0,-7176.666666666686,1,66.94655
2022-04-09 15:00:00,20.6,0.0,5.025,54.5,1.0,2.965,157.52,11.71,463390.0,0.0,0,0.0,-154.555,15.0,12864.0,-12267.0,1,65.379
2022-04-09 16:00:00,20.175,0.0,4.675,54.5,1.0,2.425,123.23,51.16,470507.0,46.1,1,-0.3500000000000005,-120.805,16.0,7117.0,-9032.666666666686,1,51.93707
2022-04-10 11:00:00,20.425,0.0,4.65,55.25,0.8,2.18,166.32,8.17,483413.0,0.0,0,0.5500000000000007,-164.14,11.0,-22646.0,19430.33333333332,1,57.03612
2022-04-10 12:00:00,21.35,0.0,3.675,54.5,0.85,2.46,182.9,11.33,462893.0,97.7,1,-0.9750000000000004,-180.44,12.0,-20520.0,21228.66666666669,1,40.416542
2022-04-10 13:00:00,21.425,0.0,3.8,55.75,1.0,2.87,176.7,8.35,452083.0,0.0,0,0.125,-173.82999999999998,13.0,-10810.0,14046.666666666686,1,43.061905
2022-04-10 14:00:00,21.65,0.0,3.775,54.5,1.0,2.695,171.28,5.4,451492.0,0.0,0,-0.0249999999999999,-168.585,14.0,-591.0,3997.333333333314,1,42.85438
2022-04-10 15:00:00,21.575,0.0,4.125,55.0,0.975,2.475,116.34,46.06,460648.0,96.1,1,0.3500000000000001,-113.865,15.0,9156.0,-5907.0,1,40.8911
2022-04-12 13:00:00,20.55,0.0,4.625,86.5,0.6,2.905,194.45,21.26,498868.0,15.0,1,0.5999999999999996,-191.545,13.0,-2561.0,7905.666666666686,1,39.899704
2022-04-12 14:00:00,21.15,0.0,4.2,85.0,0.575,2.945,193.87,13.29,518943.0,1.5,1,-0.4249999999999998,-190.925,14.0,20075.0,-12529.666666666686,1,33.43674
2022-04-12 15:00:00,20.45,0.0,4.425,86.25,0.8,2.715,145.02,17.87,525595.0,0.0,0,0.2249999999999996,-142.305,15.0,6652.0,-11126.333333333314,1,33.732708
2022-04-15 11:00:00,14.925,0.0,5.075,71.25,0.5,2.165,166.96,61.01,555364.0,0.0,0,0.5499999999999998,-164.79500000000002,11.0,-53734.0,52013.0,1,48.50011
